year, model, frequency, processors, cores, threads, TDP/CPU (W),TDP-total (W)
2012, Intel Xeon E5-2690, 2.90 GHz, 2, 16, 32,135,270
2012, Intel Xeon E5-4650, 2.70 GHz, 4, 32, 32,130,520
2012, Intel Xeon E7-8870, 2.40 GHz, 8, 80, 160,130,1030
2013, Intel Xeon E5-2680, 2.70GHz, 8, 64, 128,130,1040
2013, Intel Xeon E5-2690, 2.90 GHz, 16, 32,CHECK,130,2080
2013, SPARC T5, 3.60 GHz, 8, 128, 1024,NA,NA
2014,Fujitsu SPARC64 X, 3.0 GHz, 4, 64, 128,NA,NA
2014,Intel Xeon E7-8890 v2, 2.80 GHz, 4, 60, 60,155,620
2014,Intel Xeon E7-8891 v2, 3.2 GHz, 4, 40, 80,155,620
2014,Intel Xeon E5-2690 v2, 3.0 GHz, 2, 20, 40,130,260
2014,Intel Xeon E7-8891 v2, 3.2 GHz, 4, 40, 80,155,620
2014,Intel Xeon E5-2699 v3, 2.30 GHz, 2, 36, 72,145,290
2014,Intel Xeon E5-2680 v2, 2.80 GHz, 40, 400, 800,115,4600
2014,Intel Xeon E7-4890 v2, 2.80 GHz, 4, 60, 120,155,620
2014,Intel Xeon E5-2670 v2, 2.5GHz, 2, 20, 40,115,230
2016, Intel Xeon E5-2699 v3, 2.30 GHz, 2, 36, 72,145,290
2016, Intel Xeon E5-2699 v4, 2.20 GHz, 2, 44, 88,145,290
2017,Intel Xeon E5-2699 v4, 2.20 GHz, 2, 44, 88,145,290
2017,Intel Xeon Platinum 8180, 2.50GHz, 2, 56, 112,205,410
2017,Intel Xeon E5-2630 v3, 2.40 GHz, 2, 16, 16,85,170
2018, Intel Xeon Silver 4114, 2.20 GHz, 2, 20, 40,85,170
2018, Intel Xeon Gold 6150, 2.70 GHz, 2, 36, 72,165,330
2018, Intel Xeon Gold 6148, 2.40 GHz, 2, 40, 80,150,300
2019, Intel Xeon Platinum 8163, 2.50GHz, 420, 6720, 13440,165,69300
2019, Intel Xeon Silver 4110, 2.10GHz, 2, 16, 32,85,170
2019, Intel Xeon Silver 4114, 2.20 GHz, 2, 20, 24/40,85,170
2020, Intel Xeon Platinum 8163, 2.50GHz, 3114, 65394, 130788,165,513810
2020, AMD EPYC CPU 7F72, 3.20GHz, 2, 48, 96,240,480
2020, Intel Xeon Silver 4210, 2.20GHz, 2, 20, 40,85,170
2021, Intel Xeon Gold 6258R, 2.70GHz, 2, 56, 112,205,410
2021, Intel Xeon Gold 6354 CPU, 3.00GHz, 2, 36, 72,205,410
2022, Intel Xeon Gold 6354 CPU, 3.00GHz, 2, 36, 72,205,410
2022, AMD EPYC 7343, 3.20 GHz, 2, 32, 64,190,380
2023, Intel Xeon Platinum 8255C, 2.50 GHz, 3300, 79344, 158866,165,544500
2023, Intel Xeon Gold 6354 CPU, 3.00GHz, 2, 36, 72,205,410
2024, Intel Xeon Silver 4410Y, 2.00 GHz, 1, 12, 24,150,150