,Unnamed: 0.1,Unnamed: 0,year,model,model_launch_year,frequency,processors,cores,threads,TDP/CPU (W),TDP-total (W),median_spec_int_perf,comment,cores_per_cpu,perf_times_cores,perf_per_tdp
0,4,30,2006, Intel Xeon 5160,2006, 3.0 GHz,1,2.0,2,80,,10.475,,2.0,20.95,0.26187499999999997
1,5,31,2006, Intel Xeon X5355,2006, 2.66 GHz,1,4.0,4,120,,10.35,,4.0,41.4,0.345
2,8,34,2006, Intel Xeon 7140M,2006, 3.3 GHz,1,2.0,4,150,,11.2,,2.0,22.4,0.14933333333333332
3,9,35,2006, Intel Xeon 7140N,2006, 3.33 GHz,1,2.0,4,150,,11.2,using specint data of 7140M,2.0,22.4,0.14933333333333332
4,11,43,2007, Intel Xeon E5320,2006, 1.86 GHz,1,4.0,4,80,,11.55,,4.0,46.2,0.5775
5,12,44,2007, Intel Xeon E5345,2006, 2.33 GHz,1,4.0,4,80,,8.6,,4.0,34.4,0.43
6,13,45,2007, Intel Xeon X5355,2006, 2.66 GHz,1,4.0,4,120,,10.35,,4.0,41.4,0.345
7,21,56,2008, Intel Xeon X5460,2007, 3.16 GHz,1,4.0,4,120,,13.8,,4.0,55.2,0.46
8,19,54,2008, Intel Xeon X5365,2007, 3.0 GHz,1,4.0,4,150,,12.15,,4.0,48.6,0.324
9,17,49,2007, Intel Xeon X7350,2007, 2.93 GHz,1,4.0,4,130,,6.125,,4.0,24.5,0.18846153846153846
10,18,53,2008, Intel Xeon E5420,2007, 2.5 GHz,1,4.0,4,80,,11.4,,4.0,45.6,0.5700000000000001
11,15,47,2007, Intel Xeon X5460,2007, 3.16 GHz,1,4.0,4,120,,13.8,,4.0,55.2,0.46
12,14,46,2007, Intel Xeon X5365,2007, 3 GHz,1,4.0,4,150,,12.15,,4.0,48.6,0.324
13,22,57,2008, Intel Xeon X7350,2007, 2.93 GHz,1,4.0,4,130,,6.125,,4.0,24.5,0.18846153846153846
14,23,58,2008, Intel Xeon X7460,2008, 2.66 GHz,1,6.0,6,130,,6.275,,6.0,37.650000000000006,0.28961538461538466
15,28,69,2009, Intel Xeon X7460,2008, 2.66 GHz,1,6.0,6,130,,6.275,,6.0,37.650000000000006,0.28961538461538466
16,24,65,2009, Intel Xeon E5520,2009, 2.26 GHz,1,4.0,8,80,,13.85,,4.0,55.4,0.6925
17,26,67,2009, Intel Xeon X5570,2009, 2.93 GHz,1,4.0,8,95,,18.05,,4.0,72.2,0.76
18,29,72,2010, Intel Xeon X5650,2010, 2.66 GHz,1,6.0,12,95,,18.45,,6.0,110.69999999999999,1.1652631578947368
19,33,79,2011, Intel Xeon X5680,2010, 3.46 GHz,1,6.0,12,130,,20.95,,6.0,125.69999999999999,0.9669230769230769
20,27,68,2009, Intel Xeon X5680,2010, 3.33 GHz,1,6.0,12,130,,20.95,,6.0,125.69999999999999,0.9669230769230769
21,30,73,2010, Intel Xeon X5680,2010, 3.33 GHz,1,6.0,12,130,,20.95,,6.0,125.69999999999999,0.9669230769230769
22,31,74,2010, Intel Xeon X7560,2010, 2.27 GHz,1,8.0,16,130,,8.15,,8.0,65.2,0.5015384615384616
23,32,78,2011, Intel Xeon X5690,2011, 3.46 GHz,1,6.0,12,130,,23.3,,6.0,139.8,1.0753846153846154
24,34,80,2011, Intel Xeon E7-8870,2011, 2.4 GHz,1,10.0,20,130,,4.925,,10.0,49.25,0.37884615384615383
25,37,85,2012, Intel Xeon E7-8870,2011, 2.40 GHz,8,80.0, 160,130,1030.0,4.925,,10.0,49.25,0.37884615384615383
26,39,87,2013, Intel Xeon E5-2690,2012, 2.90 GHz,2,16.0,32,130,2080.0,29.6,,8.0,236.8,1.8215384615384616
27,38,86,2013, Intel Xeon E5-2680,2012, 2.70GHz,8,64.0, 128,130,1040.0,27.65,,8.0,221.2,1.7015384615384614
28,35,83,2012, Intel Xeon E5-2690,2012, 2.90 GHz,2,16.0, 32,135,270.0,29.6,,8.0,236.8,1.7540740740740741
29,36,84,2012, Intel Xeon E5-4650,2012, 2.70 GHz,4,32.0, 32,130,520.0,13.475,,8.0,107.8,0.8292307692307692
30,42,92,2014,Intel Xeon E5-2690 v2,2013, 3.0 GHz,2,20.0, 40,130,260.0,30.95,,10.0,309.5,2.3807692307692307
31,45,95,2014,Intel Xeon E5-2680 v2,2013, 2.80 GHz,40,400.0, 800,115,4600.0,30.9,,10.0,309.0,2.6869565217391305
32,47,97,2014,Intel Xeon E5-2670 v2,2013, 2.5GHz,2,20.0, 40,115,230.0,28.45,,10.0,284.5,2.473913043478261
33,41,91,2014,Intel Xeon E7-8891 v2,2014, 3.2 GHz,4,40.0, 80,155,620.0,15.9375,,10.0,159.375,1.028225806451613
34,43,93,2014,Intel Xeon E7-8891 v2,2014, 3.2 GHz,4,40.0, 80,155,620.0,15.9375,,10.0,159.375,1.028225806451613
35,44,94,2014,Intel Xeon E5-2699 v3,2014, 2.30 GHz,2,36.0, 72,145,290.0,33.1,,18.0,595.8000000000001,4.10896551724138
36,46,96,2014,Intel Xeon E7-4890 v2,2014, 2.80 GHz,4,60.0, 120,155,620.0,14.975,,15.0,224.625,1.4491935483870968
37,48,98,2016, Intel Xeon E5-2699 v3,2014, 2.30 GHz,2,36.0, 72,145,290.0,33.1,,18.0,595.8000000000001,4.10896551724138
38,52,102,2017,Intel Xeon E5-2630 v3,2014, 2.40 GHz,2,16.0, 16,85,170.0,29.3,,8.0,234.4,2.7576470588235296
39,49,99,2016, Intel Xeon E5-2699 v4,2016, 2.20 GHz,2,44.0, 88,145,290.0,36.7,,22.0,807.4000000000001,5.568275862068966
40,50,100,2017,Intel Xeon E5-2699 v4,2016, 2.20 GHz,2,44.0, 88,145,290.0,36.7,,22.0,807.4000000000001,5.568275862068966
41,58,108,2019, Intel Xeon Silver 4114,2017, 2.20 GHz,2,20.0, 24/40,85,170.0,32.445,,10.0,324.45,3.8170588235294116
42,57,107,2019, Intel Xeon Silver 4110,2017, 2.10GHz,2,16.0, 32,85,170.0,31.815,,8.0,254.52,2.9943529411764707
43,55,105,2018, Intel Xeon Gold 6148,2017, 2.40 GHz,2,40.0, 80,150,300.0,40.35,,20.0,807.0,5.38
44,51,101,2017,Intel Xeon Platinum 8180,2017, 2.50GHz,2,56.0, 112,205,410.0,42.8625,,28.0,1200.1499999999999,5.854390243902438
45,53,103,2018, Intel Xeon Silver 4114,2017, 2.20 GHz,2,20.0, 40,85,170.0,32.445,,10.0,324.45,3.8170588235294116
46,54,104,2018, Intel Xeon Gold 6150,2017, 2.70 GHz,2,36.0, 72,165,330.0,39.7,,18.0,714.6,4.330909090909091
47,60,111,2020, Intel Xeon Silver 4210,2019, 2.20GHz,2,20.0, 40,85,170.0,36.2925,,10.0,362.92499999999995,4.269705882352941
48,61,112,2021, Intel Xeon Gold 6258R,2020, 2.70GHz,2,56.0, 112,205,410.0,49.05,,28.0,1373.3999999999999,6.699512195121951
49,63,114,2022, Intel Xeon Gold 6354 CPU,2021, 3.00GHz,2,36.0, 72,205,410.0,55.8,,18.0,1004.4,4.899512195121951
50,65,117,2023, Intel Xeon Gold 6354 CPU,2021, 3.00GHz,2,36.0, 72,205,410.0,55.8,,18.0,1004.4,4.899512195121951
51,62,113,2021, Intel Xeon Gold 6354 CPU,2021, 3.00GHz,2,36.0, 72,205,410.0,55.8,,18.0,1004.4,4.899512195121951
52,66,118,2024, Intel Xeon Silver 4410Y,2023, 2.00 GHz,1,12.0, 24,150,150.0,64.8,,12.0,777.5999999999999,5.183999999999999
